name1,name2,nameOut,case,isRC,loc1,loc2,quality1,quality2,quality,overlapLen
ALX4,EOMES,ALX4_EOMES,4,0,4,11,0.35806110035897903,0.236269380770805,0.5943304811297829,6
ALX4,TBX21,ALX4_TBX21,2,0,5,-1,0.41732544273523,0.26109153562182197,0.6784169783570521,4
ALX4,TBX21,ALX4_TBX21_2,2,0,5,-1,0.251021703269277,0.238921624775548,0.48994332804482504,4
ARNTL,BHLHA15,ARNTL_BHLHA15,2,1,10,0,0.31386506882479104,0.223676261953839,0.537541330778629,0
ARNTL,PITX1,ARNTL_PITX1,4,0,-2,8,0.237817040526395,0.27131373109128504,0.509130771617681,0
ARNTL,PITX1,ARNTL_PITX1_2,2,1,9,0,0.299277314635512,0.22281910712837902,0.52209642176389,-1
ATF4,CEBPB,ATF4_CEBPB,1,0,0,2,0.0963117761181358,0.316876239507274,0.41318801562541,11
ATF4,CEBPD,ATF4_CEBPD,1,0,0,2,0.0881747529435826,0.34417914362209,0.43235389656567297,11
ATF4,TEF,ATF4_TEF,4,0,0,1,0.0867836358171972,0.387963276679311,0.47474691249650897,12
CEBPG,ATF4,CEBPG_ATF4,2,0,2,0,0.313286777969629,0.0935866634200063,0.406873441389635,11
CEBPG,CREB3L1,CEBPG_CREB3L1,2,0,1,-1,0.399690831882014,0.38817277764598707,0.7878636095280009,12
CEBPG,ELF1,CEBPG_ELF1,3,1,9,-1,0.32072022387252597,0.403416639993546,0.724136863866072,2
CLOCK,BHLHA15,CLOCK_BHLHA15,4,0,-1,10,0.23609765631494298,0.30346281551508003,0.539560471830023,-1
CLOCK,EVX1,CLOCK_EVX1,1,1,-2,8,0.18995153567767398,0.22422427325491498,0.414175808932589,0
CLOCK,EVX1,CLOCK_EVX1_2,4,0,-2,7,0.12025864080101001,0.309576942977543,0.429835583778553,1
CLOCK,EVX1,CLOCK_EVX1_3,4,1,-2,10,0.218981424081317,0.23044212551414,0.449423549595457,-2
CLOCK,EVX1,CLOCK_EVX1_4,4,1,-2,11,0.204216156732428,0.28970733065801696,0.493923487390445,-3
CLOCK,FIGLA,CLOCK_FIGLA,4,1,-1,14,0.229849304469469,0.18388434756388103,0.41373365203334994,-5
CLOCK,FIGLA,CLOCK_FIGLA_2,4,1,-1,15,0.28612311566059007,0.201653121678962,0.48777623733955194,-6
CLOCK,NHLH1,CLOCK_NHLH1,2,0,12,0,0.17757818710435397,0.206562317462224,0.38414050456657794,-2
CLOCK,NHLH1,CLOCK_NHLH1_2,2,0,11,0,0.175365801726018,0.210257867255965,0.38562366898198297,-1
CLOCK,TBX3,CLOCK_TBX3,4,1,-2,10,0.13929472078253602,0.155183193944712,0.294477914727248,-2
CUX1,FOXI1,CUX1_FOXI1,2,0,10,0,0.16898867719491698,0.39042705350233703,0.559415730697254,-3
